mCherry.A.FITC.A,file
3.913711,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.152476,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.504566,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.910946,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.847834,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.167731,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.905929,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.877312,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.916284,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
8.014211,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.044105,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.368176,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.467656,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.169782,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.397234,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.09109,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.52409,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.831429,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.064114,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.840183,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.930068,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.897228,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.737207,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.108764,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
1.478845,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.922925,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.258971,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.805784,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.586084,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
7.610267,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
0.031891,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.689161,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.488465,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.385306,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.396003,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.590665,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.956301,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.674956,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.437484,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.294716,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.271607,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.666978,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.370337,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.31028,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.700006,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.982952,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.116598,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.494472,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.347025,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.451758,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.4324,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.981546,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.841691,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.950431,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.77846,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.579961,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.473866,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
0.005148,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.326018,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.016065,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.255273,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.301419,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
6.972571,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.945957,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
0.359672,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.034853,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.229436,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.838055,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.486187,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
