mCherry.A.FITC.A,file
2.030146,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.698723,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.990169,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.255651,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.973307,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.265054,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.561601,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.633651,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.117687,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
0.999748,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.791456,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
0.015758,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.523967,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.118964,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.49118,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.157755,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.649225,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.875143,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.516764,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.802068,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.908555,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.224829,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.828285,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
