mCherry.A.FITC.A,file
1.750112,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.003503,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.398987,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.423517,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.717686,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.397575,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.496676,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.156484,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.021121,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.365494,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.289229,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.317705,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.882832,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.319176,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.341576,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.921643,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.330332,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.926339,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.700782,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.650393,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.980091,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.539512,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.775329,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.588914,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.209823,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.134964,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.9831,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.327859,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.604344,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.920104,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.323732,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.478272,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.534771,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.236337,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.655811,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.407882,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.692292,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.17124,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.460565,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.544224,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.559887,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.861322,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.505443,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.028764,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.004255,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.740063,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.713505,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.748943,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
