mCherry.A.FITC.A,file
2.008474,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.544818,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.512289,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.578602,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.141682,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
0.832164,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.55083,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.639778,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.791348,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.798382,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.807387,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.301719,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.322724,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.702656,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.552508,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.893428,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.644498,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.475846,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.72349,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.18384,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.973672,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.904055,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.278014,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.627201,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
4.259323,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.717255,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.148852,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.919994,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.12638,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.489362,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
3.165527,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.866015,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.809978,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.827603,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.387268,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.651731,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.065691,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.533938,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.659798,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.349511,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.503154,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.497392,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.834067,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.82334,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.854152,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.336731,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.28996,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.899601,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.848256,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.819154,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
-0.03944,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.67934,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.60897,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.742385,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.559548,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.671205,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.871346,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.426168,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.647168,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.290053,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.703494,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.340522,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.684913,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.13148,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.256756,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.128173,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.009583,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.683126,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.069127,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.64417,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
3.136567,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.132473,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.215054,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.488944,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.855096,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.765668,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.701626,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.478508,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.286777,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.426823,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.541516,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.081537,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.279285,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.56283,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.091671,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
2.585034,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.596756,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.837056,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.441024,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.2523,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.871417,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
1.249454,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_002_GFP.csv
