mCherry.A.Comp.FITC.A,file
2.61238,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.22285,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.088319,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.131435,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.200749,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.674987,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.738097,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.38167,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.702672,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
0.99769,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.188771,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.915221,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.911563,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.453743,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.966453,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.237025,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.525357,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.083878,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.341958,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.997697,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.65214,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
6.11147,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.274875,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.487229,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.578847,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.800739,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.774825,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.96634,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.218967,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.977985,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.798068,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.666795,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.361839,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.795957,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.326931,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.881107,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.280913,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.002418,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.221298,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.533108,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.457994,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.965178,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.705959,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.435587,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.48358,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.124901,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.014342,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.572012,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.063451,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.931836,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.900502,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.761102,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.906131,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.69188,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.231652,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.887465,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.067453,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.33686,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.830094,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.435496,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.223462,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.437145,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.443656,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.471019,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.852498,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.953025,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.511861,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.756239,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.819237,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.308983,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.212025,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.527951,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.901287,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.260206,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.346275,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.209115,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.871094,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.808277,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.190092,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.506534,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.697682,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.483996,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.078097,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.655996,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.614114,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.729547,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.947108,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.608887,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.295106,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.731023,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.592547,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.299893,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.010938,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.765756,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.995315,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.635905,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.504733,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.044172,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.130833,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.722092,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.777733,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.078552,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.184787,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.851608,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.194761,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.348659,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.095445,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.482246,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.908436,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.959332,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.467707,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.478226,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.552547,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.767544,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.539648,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.985503,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.403161,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.971276,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.551938,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.565679,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.708557,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.193653,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.064819,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.091815,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.594179,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.398857,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.101574,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.506799,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.265075,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.88891,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
1.703329,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.664141,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.82221,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
4.080532,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.104952,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
3.942174,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
2.570211,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_010_GFP.csv
