mCherry.A.Comp.FITC.A,file
2.422496,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.202146,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.945628,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.839643,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.861048,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.123339,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.076732,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.111987,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.61238,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.402834,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.788172,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.672203,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.921225,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.513073,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.634462,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.759803,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.35338,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.812662,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.152115,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.581745,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.24465,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.099427,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.879478,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.094376,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.116449,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.413629,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.802437,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.13996,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.671193,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.573762,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.17399,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.647329,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.984593,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.503233,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.695102,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.829311,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.999862,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.376248,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.495049,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.194047,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.815196,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.658757,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.946272,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.746946,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.381972,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.996563,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.017485,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.737103,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.146271,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.371137,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.826304,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.54651,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.35285,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.872089,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.742234,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.084325,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.619376,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.201319,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.767436,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.953775,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.831187,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.069767,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.734736,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.121214,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.398368,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.285892,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.929872,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.602347,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.948573,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
