mCherry.A.Comp.FITC.A,file
2.183295,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.330084,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.005639,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.466869,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.87656,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.490877,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.901436,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.322441,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.291675,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.426879,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.377051,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.656967,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.676149,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.647523,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.752579,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.285797,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.11887,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.333857,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.755284,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.808825,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.297808,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.137084,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.740876,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.98787,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.336603,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.662571,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.847761,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.205962,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.07238,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
