mCherry.A.FITC.A,file
6.03349,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
5.10278,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
7.99039,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
4.39384,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
4.16628,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
9.00184,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
8.48748,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
7.505,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
7.7871,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.59155,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
8.28699,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
4.9189,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
8.08144,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
9.69064,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.49414,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
7.58447,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.83072,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.7782,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.44938,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
7.17711,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
11.1889,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
8.21426,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
5.88295,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
8.75241,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
9.68188,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.89007,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.77265,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
3.66127,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
6.67793,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
8.94315,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
7.52986,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_014_GFP.csv
